District code,State name,District name,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,Rural_Households,Urban_Households,Households
460,MADHYA PRADESH,Shahdol,1066063,540021,526042,604194,348761,255433,997073,42426,2372,912,268,1737,19448,1827,233594,57846,291440
461,MADHYA PRADESH,Anuppur,749237,379114,370123,436595,254120,182475,686524,21473,2132,606,86,1653,35434,1329,147388,60325,207713
462,MADHYA PRADESH,Sidhi,1127033,575912,551121,600785,353030,247755,1077545,34419,511,128,92,93,12556,1689,250953,25916,276869
463,MADHYA PRADESH,Singrauli,1178273,613637,564636,585054,359923,225131,1118998,46574,2332,1422,338,182,6139,2288,228732,58593,287325
464,MADHYA PRADESH,Jhabua,1025048,515023,510025,352081,214582,137499,960925,15733,38423,141,65,8871,388,502,211080,24713,235793
465,MADHYA PRADESH,Alirajpur,728999,362542,366457,209754,120905,88849,705060,17660,4600,65,36,780,271,527,135866,14662,150528
466,MADHYA PRADESH,Khandwa (East Nimar),1310061,674329,635732,731615,432259,299356,1182330,116277,2800,1726,1425,3856,158,1489,265663,63425,329088
467,MADHYA PRADESH,Burhanpur,757847,388504,369343,408679,233073,175606,552526,180840,1199,1074,19883,1884,99,342,115979,62861,178840
468,GUJARAT,Kachchh,2092371,1096737,995634,1252319,739239,513080,1608921,442355,6192,6353,490,25312,98,2650,488293,250982,739275
469,GUJARAT,Banas Kantha,3120506,1610379,1510127,1704923,1048402,656521,2890305,213505,1686,486,281,12659,83,1501,666773,137424,804197
470,GUJARAT,Patan,1343734,694397,649337,837913,494631,343282,1194745,142797,916,337,66,3602,66,1205,301483,102655,404138
471,GUJARAT,Mahesana,2035064,1056520,978544,1502645,847499,655146,1885732,136431,1954,1082,146,7087,88,2544,476005,183738,659743
472,GUJARAT,Sabar Kantha,2428589,1244231,1184358,1578734,918625,660109,2260560,148563,6375,614,168,11110,52,1147,544024,121509,665533
473,GUJARAT,Gandhinagar,1391753,723864,667889,1030494,582686,447808,1319586,57273,3237,1985,497,6405,82,2688,237624,195634,433258
474,GUJARAT,Ahmadabad,7214225,3788051,3426174,5435760,3025463,2410297,6042416,883238,50754,14542,4518,209287,2055,7415,353169,1845383,2198552
475,GUJARAT,Surendranagar,1756268,909917,846351,1093626,643221,450405,1620282,109681,1419,512,312,22992,128,942,340788,159810,500598
476,GUJARAT,Rajkot,3804558,1974445,1830113,2725056,1514075,1210981,3397406,361388,5478,1918,1170,33591,269,3338,459474,721532,1181006
477,GUJARAT,Jamnagar,2160119,1114192,1045927,1396534,795140,601394,1810443,320805,4392,1873,1086,18856,136,2528,347158,299167,646325
478,GUJARAT,Porbandar,585449,300209,285240,393678,221621,172057,549749,33565,500,248,91,515,38,743,96015,87557,183572
479,GUJARAT,Junagadh,2743082,1404356,1338726,1842818,1046981,795837,2397056,334858,2586,1110,1291,3841,77,2263,489237,287506,776743
480,GUJARAT,Amreli,1514190,771049,743141,995459,558180,437279,1410463,99105,919,415,243,2053,40,952,313714,116899,430613
481,GUJARAT,Bhavnagar,2880365,1490201,1390164,1887255,1087371,799884,2632574,212863,3457,1410,445,26974,127,2515,387251,356826,744077
482,GUJARAT,Anand,2092745,1087224,1005521,1551253,874481,676772,1798794,250919,29789,1524,267,8591,142,2719,413078,208909,621987
483,GUJARAT,Kheda,2299885,1185727,1114158,1660243,942480,717763,2000884,264482,26629,1403,300,3479,82,2626,461479,160547,622026
484,GUJARAT,Panch Mahals,2390776,1226961,1163815,1440805,858054,582751,2220974,158513,2863,662,337,5236,131,2060,463363,104238,567601
